filename,file type,folder,registration,suggested skill,suggested subfolder,is_zone_identifier
report(1).pdf,pdf,reports,,total-loss-assessment,,0
REPORT(2).pdf,pdf,reports,,total-loss-assessment,,0
6.EHR99761_Engineers Report_07582655.pdf,pdf,reports,HD21BVA,total-loss-assessment,reports,0
BL19XPO.pdf,pdf,reports,BL19XPO,total-loss-assessment,reports,0
BodyshopEngRep-V1.pdf,pdf,reports,L21CSR,total-loss-assessment,reports,0
Bodyshopsuppreport-V1.pdf,pdf,reports,AP64ETZ,cost-defence,reports,0
BP13UVC Valuation report (1).pdf,pdf,reports,BP13UVC,vehicle-valuation,reports,0
BV64HYJ figures.pdf,pdf,reports,BV64HYJ,total-loss-assessment,reports,0
BV64HYJ.pdf,pdf,reports,BV64HYJ,total-loss-assessment,reports,0
BX17KKB...pdf,pdf,reports,BX17KKB,total-loss-assessment,reports,0
CertifiedAdjusted10aFormofResponseStephenDickson-V1.pdf,pdf,reports,L261 DNX; KP60 CCA,ce-house-style,reports,0
CLM278147_Technical_report_2022-08-22 16_55_07.pdf,pdf,reports,NU21 RLZ,total-loss-assessment,reports,0
Defence.pdf,pdf,reports,MC16 WCW; DE17 WMZ,cost-defence,reports,0
DK66LRL fee.pdf,pdf,reports,DK66LRL,missing-skill:fee-terms,reports,0
DX71UUT..pdf,pdf,reports,DX71UUT,total-loss-assessment,reports,0
ENG000.pdf,pdf,reports,N12LCL,total-loss-assessment,reports,0
ENG000(2).pdf,pdf,reports,YS21WHV,total-loss-assessment,reports,0
EU63OZA.pdf,pdf,reports,EU63OZA,total-loss-assessment,reports,0
FE62RGE figures.pdf,pdf,reports,FE62RGE,total-loss-assessment,reports,0
FE62RGE.pdf,pdf,reports,FE62RGE,total-loss-assessment,reports,0
Form4A-V1.pdf,pdf,reports,,missing-skill:liability-claim-response,reports,0
GD08ARZ figures.pdf,pdf,reports,GD08ARZ,total-loss-assessment,reports,0
GD08ARZ.pdf,pdf,reports,GD08ARZ,total-loss-assessment,reports,0
GL17EMX LETTER RESPONSE.pdf,pdf,reports,GL17EMX,salvage-categorisation,reports,0
GX18XEB Fee.pdf,pdf,reports,GX18XEB,missing-skill:fee-terms-admin,reports,0
H2KXM.pdf,pdf,reports,H2KXM,total-loss-assessment,reports,0
J77EVR figs.pdf,pdf,reports,J77EVR,total-loss-assessment,reports,0
J77EVR.pdf,pdf,reports,J77EVR,total-loss-assessment,reports,0
KV60KZH..pdf,pdf,reports,KV60KZH,total-loss-assessment,reports,0
KV60KZH.pdf,pdf,reports,KV60KZH,total-loss-assessment,reports,0
KY63GVC figures.pdf,pdf,reports,KY63GVC,total-loss-assessment,reports,0
KY63GVC.pdf,pdf,reports,KY63GVC,total-loss-assessment,reports,0
M12DBL.pdf,pdf,reports,M12DBL,total-loss-assessment,reports,0
M6JBU figs..pdf,pdf,reports,M6JBU,total-loss-assessment,reports,0
M6JBU..pdf,pdf,reports,M6JBU,total-loss-assessment,reports,0
MA13XML.pdf,pdf,reports,MA13XML,total-loss-assessment,reports,0
MF17VJG.pdf,pdf,reports,MF17VJG,total-loss-assessment,reports,0
NU21RLZ.pdf,pdf,reports,NU21RLZ,total-loss-assessment,reports,0
OE67MYF......pdf,pdf,reports,OE67MYF,total-loss-assessment,reports,0
P18MCC.pdf,pdf,reports,P18MCC,total-loss-assessment,reports,0
Percayso (PVI) - EW19KXC - Companion Report.pdf,pdf,reports,EW19KXC,vehicle-valuation,reports,0
Reportal-00LW-00NZ-D67D7E9-0B060A-22110F51.pdf,pdf,reports,BR18 EHX,total-loss-assessment,reports,0
Ria Scanned Defence 220126-113909.pdf,pdf,reports,EK62AAN,cost-defence,reports,0
S500MSK GARAGE FIGS....pdf,pdf,reports,S500MSK,total-loss-assessment,reports,0
SL12MVP...pdf,pdf,reports,SL12MVP,total-loss-assessment,reports,0
ST24YVA.pdf,pdf,reports,ST24YVA,total-loss-assessment,reports,0
ST65VNK figures.pdf,pdf,reports,ST65VNK,total-loss-assessment,reports,0
ST65VNK.pdf,pdf,reports,ST65VNK,total-loss-assessment,reports,0
T90PPE.pdf,pdf,reports,T90PPE,total-loss-assessment,reports,0
WN08FNZ fee.pdf,pdf,reports,WN08FNZ,missing-skill:fee-terms,reports,0
YS69EYT.pdf,pdf,reports,YS69EYT,total-loss-assessment,reports,0
