filename,file type,folder,registration,suggested skill,suggested subfolder,is_zone_identifier
LN65TNO REPORT.pdf,pdf,totalLoss,LN65TNO,total-loss-assessment,totalLoss,0
LR64GVL AUDIT PAV.pdf,pdf,totalLoss,LR64GVL,total-loss-assessment,totalLoss,0
LS21ONN Valuation report (1).pdf,pdf,totalLoss,LS21ONN,vehicle-valuation,totalLoss,0
LV60WVZ CUSTOMERS REPORT.pdf,pdf,totalLoss,LV60WVZ,total-loss-assessment,totalLoss,0
LX58VNW CUSTOMERS PAV.pdf,pdf,totalLoss,LX58VNW,vehicle-valuation,totalLoss,0
MA16LXF REPORT.pdf,pdf,totalLoss,MA16LXF,total-loss-assessment,totalLoss,0
MC65MYZ PAV audit update.pdf,pdf,totalLoss,MC65MYZ,vehicle-valuation,totalLoss,0
MD18CDU.pdf,pdf,totalLoss,MD18CDU,total-loss-assessment,totalLoss,0
ME14NHK.pdf,pdf,totalLoss,ME14NHK,total-loss-assessment,totalLoss,0
MF66EOR....pdf,pdf,totalLoss,MF66EOR,total-loss-assessment,totalLoss,0
MJ71VNK.pdf,pdf,totalLoss,MJ71VNK,total-loss-assessment,totalLoss,0
MK12BJF.pdf,pdf,totalLoss,MK12BJF,total-loss-assessment,totalLoss,0
MK16YLJ..pdf,pdf,totalLoss,MK16YLJ,total-loss-assessment,totalLoss,0
MK59AXY.pdf,pdf,totalLoss,MK59AXY,total-loss-assessment,totalLoss,0
MV58FKY..pdf,pdf,totalLoss,MV58FKY,total-loss-assessment,totalLoss,0
N333REV.....pdf,pdf,totalLoss,N333REV,total-loss-assessment,totalLoss,0
NA15OHS AUDIT PAV....pdf,pdf,totalLoss,NA15OHS,total-loss-assessment,totalLoss,0
Northern assessors Report YT58DXG.pdf,pdf,totalLoss,YT58DXG,total-loss-assessment,totalLoss,0
NU10JWG CUSTOMERS PAV.pdf,pdf,totalLoss,NU10JWG,total-loss-assessment,totalLoss,0
OE16YKP REPORT.pdf,pdf,totalLoss,OE16YKP,total-loss-assessment,totalLoss,0
OU06YHC...pdf,pdf,totalLoss,OU06YHC,total-loss-assessment,totalLoss,0
OV17NXA...pdf,pdf,totalLoss,OV17NXA,total-loss-assessment,totalLoss,0
OV65TVD REPORT.pdf,pdf,totalLoss,OV65TVD,total-loss-assessment,totalLoss,0
PK12FNM...pdf,pdf,totalLoss,PK12FNM,total-loss-assessment,totalLoss,0
PL71LUB PAV UPDATE.pdf,pdf,totalLoss,PL71LUB,vehicle-valuation,totalLoss,0
PN16ROH CUSTOMERS PAV UPDATE.pdf,pdf,totalLoss,PN16ROH,total-loss-assessment,totalLoss,0
PN56ULW...pdf,pdf,totalLoss,PN56ULW,total-loss-assessment,totalLoss,0
PX63ZYY REPORT.pdf,pdf,totalLoss,PX63ZYY,total-loss-assessment,totalLoss,0
PY14EHV amended report.pdf,pdf,totalLoss,PY14EHV,total-loss-assessment,totalLoss,0
RJ13YHO CUSTOMERS PAV.pdf,pdf,totalLoss,RJ13YHO,total-loss-assessment,totalLoss,0
RJ62FVC....pdf,pdf,totalLoss,RJ62FVC,total-loss-assessment,totalLoss,0
RK65ZTP.pdf,pdf,totalLoss,RK65ZTP,total-loss-assessment,totalLoss,0
RV17ZDA REPORT.pdf,pdf,totalLoss,RV17ZDA,total-loss-assessment,totalLoss,0
RX60CCA.pdf,pdf,totalLoss,RX60CCA,total-loss-assessment,totalLoss,0
S19AYR.pdf,pdf,totalLoss,S19AYR,total-loss-assessment,totalLoss,0
"S200SSJ,,.pdf",pdf,totalLoss,S200SSJ,total-loss-assessment,totalLoss,0
SA11PAO AUDIT PAV.pdf,pdf,totalLoss,SA11PAO,total-loss-assessment,totalLoss,0
SC03ZNH...pdf,pdf,totalLoss,SC03ZNH,total-loss-assessment,totalLoss,0
SC08VRD...pdf,pdf,totalLoss,SC08VRD,total-loss-assessment,totalLoss,0
SH13UWT PAV UPDATE.pdf,pdf,totalLoss,SH13UWT,vehicle-valuation,totalLoss,0
SJ59WHA AUDIT PAV.pdf,pdf,totalLoss,SJ59WHA,total-loss-assessment,totalLoss,0
SJ59WHA.pdf,pdf,totalLoss,SJ59WHA,total-loss-assessment,totalLoss,0
SL18GNP..pdf,pdf,totalLoss,SL18GNP,total-loss-assessment,totalLoss,0
SL62VYP.pdf,pdf,totalLoss,SL62VYP,total-loss-assessment,totalLoss,0
VE15AVO..pdf,pdf,totalLoss,VE15AVO,total-loss-assessment,totalLoss,0
